plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,emission_cmf_type,plume_bounds,instrument,mission_phase,published_at,modified,emission_version,processing_software,gsd,sensitivity_mode,off_nadir,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,con_tif,rgb_tif,rgb_png
tan20250715t080445c96s4001-F,25.648947185579445,49.38803277509467,2025-07-15T08:04:45+00,Electricity Generation (1A1),CO2,mfal,"[49.36906225858443, 25.63180560455357, 49.40291599084902, 25.662594014127208]",tan,production,2025-08-14 08:19:01.741909+00:00,2025-08-14 08:19:01.732495+00:00,v3,,33.43793432875183,standard_sensitivity,8.644100351926655,244004.1243050985,60755.23264966733,5.203703703703703,0.19020961652013105,351.11118404566287,19.12406552185989,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/07/15/tan20250715t080445c96s4001-F/tan20250715t080445c96s4001-F_l3a-vis-co2-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/07/15/tan20250715t080445c96s4001-F/tan20250715t080445c96s4001-F_l3a-vis-co2-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3/2025/07/15/tan20250715t080445c96s4001-F/tan20250715t080445c96s4001-F_l3a-ime-co2-mfal-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/07/15/tan20250715t080445c96s4001-F/tan20250715t080445c96s4001-F_l3a-vis-co2-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/07/15/tan20250715t080445c96s4001-F/tan20250715t080445c96s4001-F_l3a-vis-co2-mfa-v3_rgb.png
tan20250715t080445c96s4001-E,25.650799189230156,49.385914045532104,2025-07-15T08:04:45+00,Electricity Generation (1A1),CO2,mfal,"[49.36849341459396, 25.629369871912623, 49.40324434764784, 25.660427550204183]",tan,production,2025-08-14 08:19:01.648960+00:00,2025-08-14 08:19:01.647644+00:00,v3,,33.43793432875183,standard_sensitivity,8.644100351926655,,,5.203703703703703,0.19020961652013105,351.11118404566287,19.12406552185989,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/07/15/tan20250715t080445c96s4001-E/tan20250715t080445c96s4001-E_l3a-vis-co2-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/07/15/tan20250715t080445c96s4001-E/tan20250715t080445c96s4001-E_l3a-vis-co2-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3/2025/07/15/tan20250715t080445c96s4001-E/tan20250715t080445c96s4001-E_l3a-ime-co2-mfal-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/07/15/tan20250715t080445c96s4001-E/tan20250715t080445c96s4001-E_l3a-vis-co2-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/07/15/tan20250715t080445c96s4001-E/tan20250715t080445c96s4001-E_l3a-vis-co2-mfa-v3_rgb.png
emi20250625t064751p04011-A,25.651092657544467,49.38623934565683,2025-06-25T06:47:51+00,Oil & Gas (1B2),CO2,mfal,"[49.35579105814574, 25.616903289514166, 49.421699550136914, 25.67683504487096]",emi,production,2025-09-12 20:04:47.784148+00:00,2025-09-12 20:04:47.974748+00:00,v3,,,,,329153.8750902436,46738.563657697625,7.046296296296295,0.703216205409167,334.0,2.449769646614131,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/06/25/emi20250625t064751p04011-A/emi20250625t064751p04011-A_l3a-vis-co2-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/06/25/emi20250625t064751p04011-A/emi20250625t064751p04011-A_l3a-vis-co2-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3/2025/06/25/emi20250625t064751p04011-A/emi20250625t064751p04011-A_l3a-ime-co2-mfal-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/06/25/emi20250625t064751p04011-A/emi20250625t064751p04011-A_l3a-vis-co2-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/06/25/emi20250625t064751p04011-A/emi20250625t064751p04011-A_l3a-vis-co2-mfa-v3_rgb.png
tan20250501t080726c00s4001-B,25.650584261436677,49.386124191743164,2025-05-01T08:07:26+00,Other,CO2,mfal,"[49.366365848353155, 25.632322583241116, 49.40051746059737, 25.66310931761477]",tan,production,2025-05-31 08:20:37.475920+00:00,2025-05-31 08:20:37.474952+00:00,v3,3.15.0,38.31507250145804,standard_sensitivity,29.858567924278788,389120.13349726197,109050.6383507424,4.101851851851852,0.4115946439054235,61.999390161456105,2.944406219947853,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/05/01/tan20250501t080726c00s4001-B/tan20250501t080726c00s4001-B_l3a-vis-co2-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/05/01/tan20250501t080726c00s4001-B/tan20250501t080726c00s4001-B_l3a-vis-co2-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3/2025/05/01/tan20250501t080726c00s4001-B/tan20250501t080726c00s4001-B_l3a-ime-co2-mfal-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/05/01/tan20250501t080726c00s4001-B/tan20250501t080726c00s4001-B_l3a-vis-co2-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/05/01/tan20250501t080726c00s4001-B/tan20250501t080726c00s4001-B_l3a-vis-co2-mfa-v3_rgb.png
