plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,emission_cmf_type,plume_bounds,instrument,mission_phase,published_at,modified,emission_version,processing_software,gsd,sensitivity_mode,off_nadir,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,con_tif,rgb_tif,rgb_png
emi20250625t064751p04011-A,25.651092657544467,49.38623934565683,2025-06-25T06:47:51+00,Oil & Gas (1B2),CO2,mfal,"[49.35579105814574, 25.616903289514166, 49.421699550136914, 25.67683504487096]",emi,production,2025-09-12 20:04:47.784148+00:00,2025-09-12 20:04:47.974748+00:00,v3,,,,,329153.8750902436,46738.563657697625,7.046296296296295,0.703216205409167,334.0,2.449769646614131,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/06/25/emi20250625t064751p04011-A/emi20250625t064751p04011-A_l3a-vis-co2-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/06/25/emi20250625t064751p04011-A/emi20250625t064751p04011-A_l3a-vis-co2-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3/2025/06/25/emi20250625t064751p04011-A/emi20250625t064751p04011-A_l3a-ime-co2-mfal-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/06/25/emi20250625t064751p04011-A/emi20250625t064751p04011-A_l3a-vis-co2-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2025/06/25/emi20250625t064751p04011-A/emi20250625t064751p04011-A_l3a-vis-co2-mfa-v3_rgb.png
emi20240610t041616p03002-B,25.65194568682243,49.38598034625281,2024-06-10T04:16:16+00,Oil & Gas (1B2),CO2,mfal,"[49.3498361984284, 25.62971425194499, 49.4158204649911, 25.689191389605075]",emi,production,2025-09-12 20:04:47.784148+00:00,2025-09-12 20:04:47.838803+00:00,v3,3.18.1,,,,95847.60473192217,18128.84277382303,3.6296296296296298,0.36027919367303224,175.06059395529792,13.18376625100485,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2024/06/10/emi20240610t041616p03002-B/emi20240610t041616p03002-B_l3a-vis-co2-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2024/06/10/emi20240610t041616p03002-B/emi20240610t041616p03002-B_l3a-vis-co2-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3/2024/06/10/emi20240610t041616p03002-B/emi20240610t041616p03002-B_l3a-ime-co2-mfal-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2024/06/10/emi20240610t041616p03002-B/emi20240610t041616p03002-B_l3a-vis-co2-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2024/06/10/emi20240610t041616p03002-B/emi20240610t041616p03002-B_l3a-vis-co2-mfa-v3_rgb.png
emi20231021t092726p06025-A,25.651387574089583,49.38600138149175,2023-10-21T09:27:26+00,Oil & Gas (1B2),CO2,mfal,"[49.359639033653764, 25.624813036266573, 49.42602838881395, 25.684141907095537]",emi,production,2025-09-12 20:36:37.903277+00:00,2025-09-12 20:36:37.965352+00:00,v3,3.18.1,,,,103220.1662166945,21416.811164702853,1.6666666666666667,0.19378194015237366,253.80409900126418,20.3986195457411,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/10/21/emi20231021t092726p06025-A/emi20231021t092726p06025-A_l3a-vis-co2-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/10/21/emi20231021t092726p06025-A/emi20231021t092726p06025-A_l3a-vis-co2-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3/2023/10/21/emi20231021t092726p06025-A/emi20231021t092726p06025-A_l3a-ime-co2-mfal-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/10/21/emi20231021t092726p06025-A/emi20231021t092726p06025-A_l3a-vis-co2-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/10/21/emi20231021t092726p06025-A/emi20231021t092726p06025-A_l3a-vis-co2-mfa-v3_rgb.png
emi20230726t104958p07023-B,25.65116771973166,49.38636235426918,2023-07-26T10:49:58+00,Oil & Gas (1B2),CO2,mfal,"[49.35174133340962, 25.619795380196994, 49.417209729304545, 25.679325605792346]",emi,production,2025-09-12 20:36:37.903277+00:00,2025-09-12 20:36:38.036349+00:00,v3,3.18.1,,,,82577.02182423847,21961.196012622757,5.055555555555555,0.5499719409228702,31.334177360247878,4.110931925621342,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/07/26/emi20230726t104958p07023-B/emi20230726t104958p07023-B_l3a-vis-co2-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/07/26/emi20230726t104958p07023-B/emi20230726t104958p07023-B_l3a-vis-co2-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3/2023/07/26/emi20230726t104958p07023-B/emi20230726t104958p07023-B_l3a-ime-co2-mfal-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/07/26/emi20230726t104958p07023-B/emi20230726t104958p07023-B_l3a-vis-co2-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/07/26/emi20230726t104958p07023-B/emi20230726t104958p07023-B_l3a-vis-co2-mfa-v3_rgb.png
emi20230702t052741p04004-E,25.650882081486614,49.38623560777046,2023-07-02T05:27:41+00,Oil & Gas (1B2),CO2,mfal,"[49.35580135044039, 25.614704253323595, 49.42223777783291, 25.67459639168157]",emi,production,2025-09-12 20:36:37.903277+00:00,2025-09-12 20:36:38.196932+00:00,v3,3.18.1,,,,54856.5851996894,16600.168365483805,2.407407407407408,0.47049429688564814,267.3310915578502,4.028926513265498,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/07/02/emi20230702t052741p04004-E/emi20230702t052741p04004-E_l3a-vis-co2-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/07/02/emi20230702t052741p04004-E/emi20230702t052741p04004-E_l3a-vis-co2-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3/2023/07/02/emi20230702t052741p04004-E/emi20230702t052741p04004-E_l3a-ime-co2-mfal-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/07/02/emi20230702t052741p04004-E/emi20230702t052741p04004-E_l3a-vis-co2-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/07/02/emi20230702t052741p04004-E/emi20230702t052741p04004-E_l3a-vis-co2-mfa-v3_rgb.png
emi20230226t072123p05024-A,25.651163670445072,49.38602637986358,2023-02-26T07:21:23+00,Oil & Gas (1B2),CO2,mfal,"[49.347657067647845, 25.626075270505908, 49.41357017243158, 25.68600661306451]",emi,production,2025-09-12 20:36:37.903277+00:00,2025-09-12 20:36:38.090109+00:00,v3,3.18.1,,,,,,2.5185185185185186,0.8658273872267378,116.5984870838312,13.319700910757525,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/02/26/emi20230226t072123p05024-A/emi20230226t072123p05024-A_l3a-vis-co2-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/02/26/emi20230226t072123p05024-A/emi20230226t072123p05024-A_l3a-vis-co2-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3/2023/02/26/emi20230226t072123p05024-A/emi20230226t072123p05024-A_l3a-ime-co2-mfal-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/02/26/emi20230226t072123p05024-A/emi20230226t072123p05024-A_l3a-vis-co2-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/02/26/emi20230226t072123p05024-A/emi20230226t072123p05024-A_l3a-vis-co2-mfa-v3_rgb.png
emi20230222t085527p06039-A,25.651123761958303,49.38607065147352,2023-02-22T08:55:27+00,Oil & Gas (1B2),CO2,mfal,"[49.35855944549767, 25.62659271522691, 49.42442327919238, 25.686479009691265]",emi,production,2025-09-12 20:36:37.903277+00:00,2025-09-12 20:36:38.137450+00:00,v3,3.18.1,,,,422198.33878043527,115328.8482915902,4.055555555555556,0.17123372230469372,205.667246271919,2.625013605521426,ecmwf_ifs,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/02/22/emi20230222t085527p06039-A/emi20230222t085527p06039-A_l3a-vis-co2-mfa-v3_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/02/22/emi20230222t085527p06039-A/emi20230222t085527p06039-A_l3a-vis-co2-mfa-v3_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3/2023/02/22/emi20230222t085527p06039-A/emi20230222t085527p06039-A_l3a-ime-co2-mfal-v3_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/02/22/emi20230222t085527p06039-A/emi20230222t085527p06039-A_l3a-vis-co2-mfa-v3_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3/2023/02/22/emi20230222t085527p06039-A/emi20230222t085527p06039-A_l3a-vis-co2-mfa-v3_rgb.png
